Block,Address,Layer,Matrix_Position,Diagonal_Value
1016,1ADdoQFxCa2PvXmA4ur39x3QhorvfBabeM,0,"[120,120]",-27
1097,13nSXAyvcyuRUzyrtd47aV7Ac8WpsCuStL,0,"[73,73]",-27
1098,17TNbnjZAEpx8g8wA585MBH77X2ke3571o,0,"[74,74]",-27
1103,1QLMdAix42fviBigJ54S17AEVFNuNK97Ho,0,"[79,79]",27
1112,1DjwRCjT18UTCMzJZ6GK9PeXwP88smrt7n,0,"[88,88]",-27
1118,1FJC1jr8mriKJJxFjaLJQ4QgojTVuEg7x1,0,"[94,94]",-27
1224,1NQEYJFa5XLGWDmCzRQHDV4WAcW1yDwd5Y,0,"[72,72]",-27
1225,1GNykzzLLCXiAjFJ1bZ4C57PpbtEgMBwzn,0,"[73,73]",-27
1226,12AzWpcC7nwMK3rvTBhGLKPm3QVxZkfS7J,0,"[74,74]",-27
1231,12QBk9cvoRLfkMmxj2XK41R1Kg4zMna8ST,0,"[79,79]",27
1244,1EF3kg52qMDX1B5jY1BW3aMCFm2JY84nJD,0,"[92,92]",-27
1246,1QG5vdmbGf7bMZG4pefpA2TSHvVy41YVLD,0,"[94,94]",-27
1247,1Kq2MM5PK12C6Kz3u9RZkey1A32RvXHnt2,0,"[95,95]",-27
1271,1HaCsiLVLJsggBhgwd1WCiWzAWLauHstym,0,"[119,119]",27
1272,18iasU1P2awPfXMkcMsk8X59V9Gut6xr9z,0,"[120,120]",-27
1353,1CFPUZJC7tNJgYnJDQALS7ac2ckThSuDNR,0,"[73,73]",-27
1354,1DtbUuwkGj69c6DuktM43scry2GWYxmVGU,0,"[74,74]",-27
1359,1J3C8HsepEHmBSpnDVDfMRW4VCcp8LqH6v,0,"[79,79]",27
1368,1BwHjAxHXwUky1TSASM3S48jExgFGSnxWx,0,"[88,88]",-27
1372,15QZJyvtCDuJ6VpEFv2vM4vA1o4GppQqQ6,0,"[92,92]",-27
1374,1LEHhJyn3t5GUAMu6j2pVKuRp4uoKp25no,0,"[94,94]",-27
1375,1H2o9v4uu1GmHVo8hFR8zD7c7x9D8tKpf2,0,"[95,95]",-27
1400,12SV3iXwqyDiXQJ1bGZrDNTQnXuCfTLzgB,0,"[120,120]",-27
1480,12ZKSNg1tGW6kadhb5azTjnrRFXWmmsJJt,0,"[72,72]",-27
1481,18f3j1pxm9NtR7pVsKCNSJvmAUfSRfKg1T,0,"[73,73]",-27
1482,1JmhXdXsN3syKzXErNa8knwdYCencx7qcf,0,"[74,74]",-27
1496,1LXbZebqx8jnZnVqaJmWWirxhuqi2zN3iZ,0,"[88,88]",-27
1500,1DZXCW2YVeqJUgT8iZdadWM6qKguDzdh46,0,"[92,92]",-27
1502,1AxE2Cy5TfhBvreitubbRHAreeWJ4THV29,0,"[94,94]",-27
1503,15fyz1XFeSh4Av95ZYEU8eDnYLFDXKyrJF,0,"[95,95]",-27
1527,19GZDnoj1JScai3c2tCu26FJrFbmmsXhvH,0,"[119,119]",27
1528,1F7DEAzwRDgvMPEbzGHH3sDCTedRVZMurR,0,"[120,120]",-27
1608,14D6ksrXQbXrpKZzhCUFWnUvtuiWQZJjxo,0,"[72,72]",-27
1609,1NkJudMSZgKvfApib6DFswJ5ij4fsa5Gfy,0,"[73,73]",-27
1610,14gj6QUgdM6F8yvUGFbtyya8fPi3WaT72P,0,"[74,74]",-27
1615,1NaEx3YwsBbkpB3oDtEi1GhDiD5MrqFzLY,0,"[79,79]",27
1624,1BHuT4XBkRnepwr3aUM5tqpTdVZt3LTjJC,0,"[88,88]",-27
1628,1JygJaEgYeTudTWvNa2ALsajzQw13fiQuy,0,"[92,92]",-27
1630,1FfRgB5J9LVHeXYdAS5Ho6cj7aqpXN743X,0,"[94,94]",-27
1655,1GYJzd2FqPdrH9EUiWK585seP14WGQ8K9X,0,"[119,119]",27
1656,18SMA81d8YwHQVL7c1KWUp295R3Tz3Nd9q,0,"[120,120]",-27
1736,1K5GqkUJiMRKQCrb2kT5LUFR5vERiajf4m,0,"[72,72]",-27
1737,1BHw76ep1KcW1HoSijwqiETcaV8BY4n16,0,"[73,73]",-27
1738,1BXrPAXkVvqLsWCY2JsEcDpeZcpNtMDSf,0,"[74,74]",-27
1756,197gcQGbupG6uHZQR6LUYo6VD85yu811vw,0,"[92,92]",-27
1759,15tgeJ6zAqi8XPXpeoMU976PGU65sbhDem,0,"[95,95]",-27
1783,12zu2MSTfRL6ALy9YJdxZ9DToBwQxTaWhy,0,"[119,119]",27
1784,1MguYSUKFXNGMEKdLhBqtZW1w6CJDq7JzN,0,"[120,120]",-27
1865,1CenzQKUo4xAgiTM85zai6oW4Q9jHv8sF9,0,"[73,73]",-27
1866,1LWzyznkUAybWuYpTsfMshL3WVL8Sb6nnG,0,"[74,74]",-27
1880,1PjSgsgct2kEQjQxYnB7egn8WMtJD9BsN9,0,"[88,88]",-27
1884,17JVHeAMWRzabLTc7tGN8Ejkha3TDJLxts,0,"[92,92]",-27
1886,1E2tpYUtiX416SdgkpBHoFArsppvZccVDe,0,"[94,94]",-27
1887,1GbH9nLbLZCAJQKnUkhAqsKuih5EKf4tBK,0,"[95,95]",-27
1911,19KMQPv1ARHF162R1eACfQWkpu46fU2qB8,0,"[119,119]",27
1992,16NskkAgwUtkXimv7hipaFMTcS1UYgMGi9,0,"[72,72]",-27
1993,13r2nAnabfPPsx2S9turKiHjdTK2qDWPzi,0,"[73,73]",-27
1994,1yZErbmw9JCHqVdHRjSWZzGku1apaxten,0,"[74,74]",-27
1999,15orZyCtNhoF3t8aZFduTSV6qG9KrNY1Zw,0,"[79,79]",27
2008,1AHfY5ovH1BD5JKSjqkGVcLgfbew8iBgGt,0,"[88,88]",-27
2012,1EyqvDidFBmJoWF5qJ65SGg6BVcRjvKdxD,0,"[92,92]",-27
2014,18GqqjuX8S34k3QE5suyL1dEKG3tL74MAL,0,"[94,94]",-27
2015,18DBnZNLSQdSuUQwRgotfj9PZbw48h6sti,0,"[95,95]",-27
2039,1KEvCupqYSLtQBfgWj94fGrSpmGP2d6cvU,0,"[119,119]",27
2040,17oHmvcDqh7vs5UFYhYAJkGnpcrJStRxBg,0,"[120,120]",-27
2120,1PdQXjJ1Ye2QLeoHKkKx18TLByZC2quq4d,0,"[72,72]",-27
2121,1EG8nbFyrXj6mhEnfTicHZm6u4R7xgUCv3,0,"[73,73]",-27
2122,13ZeXu6ZVzt87dNPe3Ut3Yu7E5aZ1Dse2X,0,"[74,74]",-27
2142,1N1HxXkHbRAFgFgE6vTspTtSpoxAxZn5FR,0,"[94,94]",-27
2143,1CvktqrEJfzLvVDozptyN9X3yMW5Wjr8Dr,0,"[95,95]",-27
2167,1BjGaRexdCCVRyk2RjUHL4DzdiebXr24tA,0,"[119,119]",27
2168,1LZzSCqtMSJXZawnYheKgwbXtS42XDw7DN,0,"[120,120]",-27
2248,1P1DVEejgwshCUFH9pLwGW29RUsKnmBQJA,0,"[72,72]",-27
2264,1NrV2f85um7w8LnNHewEWtFehY31Gawcow,0,"[88,88]",-27
2268,1GNKtF9TWZUcseqjZ1ekop7KUsG25Cta9n,0,"[92,92]",-27
2271,1Ex5FszUqaYNUczZF6b6MXKR7VUGRs1gD7,0,"[95,95]",-27
2295,1DE758nXpgmfXZiZeZWSMcL2hpT7G3b3Py,0,"[119,119]",27
2376,14BXssitH5UJzjJpN82ftHR5vyFgVYdhJr,0,"[72,72]",-27
2377,1CQFNci5fTXtTsSiSoGoLFxjsJcU2BLByh,0,"[73,73]",-27
2378,17gFV4X4MS5AZYKvF6dTcav5GGezhZNZhL,0,"[74,74]",-27
