Session,Start_Block,End_Block,Block_Count,EN_Min,EN_Max,Pattern,Likely_Miner,Monotonic_Ratio,Avg_Step,Break_Reason
89,9539,9552,14,121,1574,monotonic_increasing,satoshi_pattern,1.0,111.77,drop 1574->136
90,9553,9554,2,136,1583,monotonic_increasing,satoshi_pattern,1.0,1447.0,drop 1583->138
91,9555,9559,5,71,4111,mostly_increasing,likely_satoshi,0.75,993.25,drop 4111->1602
92,9560,9568,9,1602,1866,monotonic_increasing,satoshi_pattern,0.875,5.25,drop 1644->175
93,9569,9572,4,175,1684,monotonic_increasing,satoshi_pattern,1.0,503.0,drop 1684->97
94,9573,9604,32,97,1887,monotonic_increasing,satoshi_pattern,0.935,56.26,drop 1841->112
95,9605,9621,17,112,1894,monotonic_increasing,satoshi_pattern,1.0,111.38,drop 1894->179
96,9622,9624,3,179,1900,monotonic_increasing,satoshi_pattern,1.0,860.5,drop 1900->183
97,9625,9627,3,183,1908,monotonic_increasing,satoshi_pattern,1.0,862.5,drop 1908->135
98,9628,9631,4,135,1929,monotonic_increasing,satoshi_pattern,1.0,598.0,drop 1929->139
99,9632,9634,3,139,1931,monotonic_increasing,satoshi_pattern,1.0,896.0,drop 1931->193
100,9635,9639,5,193,1942,monotonic_increasing,satoshi_pattern,1.0,437.25,drop 1942->196
101,9640,9646,7,196,1964,monotonic_increasing,satoshi_pattern,1.0,294.67,drop 1964->33
102,9647,9656,10,33,4208,monotonic_increasing,satoshi_pattern,1.0,463.89,drop 4208->164
103,9657,9658,2,164,1995,monotonic_increasing,satoshi_pattern,1.0,1831.0,drop 1995->45
104,9659,9665,7,45,2011,monotonic_increasing,satoshi_pattern,1.0,327.67,drop 2011->272
105,9666,9669,4,272,2029,monotonic_increasing,satoshi_pattern,1.0,585.67,drop 2029->276
106,9670,9676,7,276,4228,monotonic_increasing,satoshi_pattern,1.0,658.67,drop 4228->2056
107,9677,9678,2,2056,2060,monotonic_increasing,satoshi_pattern,1.0,4.0,drop 2060->186
108,9679,9687,9,186,2106,monotonic_increasing,satoshi_pattern,1.0,240.0,drop 2106->14
109,9688,9692,5,14,2111,monotonic_increasing,satoshi_pattern,1.0,524.25,drop 2111->299
110,9693,9694,2,299,2125,monotonic_increasing,satoshi_pattern,1.0,1826.0,drop 2125->180
111,9695,9698,4,180,2142,monotonic_increasing,satoshi_pattern,1.0,654.0,drop 2142->206
112,9699,9700,2,206,2143,monotonic_increasing,satoshi_pattern,1.0,1937.0,drop 2143->186
113,9701,9705,5,186,2182,monotonic_increasing,satoshi_pattern,1.0,499.0,drop 2182->92
